,type,lung,mask
1120,train,dataset\dataset\lungs\1120.png,dataset\dataset\masks\1120.png
1122,train,dataset\lungs\0363.png,dataset\masks\0363.png
1123,train,dataset\dataset\lungs\1123.png,dataset\dataset\masks\1123.png
1124,train,dataset\dataset\lungs\1124.png,dataset\dataset\masks\1124.png
1125,train,dataset\dataset\lungs\1125.png,dataset\dataset\masks\1125.png
1126,train,dataset\dataset\lungs\1126.png,dataset\dataset\masks\1126.png
1127,train,dataset\dataset\lungs\1127.png,dataset\dataset\masks\1127.png
1128,train,dataset\dataset\lungs\1128.png,dataset\dataset\masks\1128.png
1129,train,dataset\dataset\lungs\1129.png,dataset\dataset\masks\1129.png
1130,train,dataset\dataset\lungs\1130.png,dataset\dataset\masks\1130.png
1131,train,dataset\dataset\lungs\1131.png,dataset\dataset\masks\1131.png
1133,train,dataset\lungs\0487.png,dataset\masks\0487.png
1134,train,dataset\dataset\lungs\1134.png,dataset\dataset\masks\1134.png
1135,train,dataset\dataset\lungs\1135.png,dataset\dataset\masks\1135.png
1136,train,dataset\dataset\lungs\1136.png,dataset\dataset\masks\1136.png
1137,train,dataset\dataset\lungs\1137.png,dataset\dataset\masks\1137.png
1138,train,dataset\dataset\lungs\1138.png,dataset\dataset\masks\1138.png
1139,train,dataset\dataset\lungs\1139.png,dataset\dataset\masks\1139.png
1140,train,dataset\dataset\lungs\1140.png,dataset\dataset\masks\1140.png
1141,train,dataset\dataset\lungs\1141.png,dataset\dataset\masks\1141.png
1142,train,dataset\dataset\lungs\1142.png,dataset\dataset\masks\1142.png
1144,train,dataset\lungs\0470.png,dataset\masks\0470.png
1145,train,dataset\dataset\lungs\1145.png,dataset\dataset\masks\1145.png
1146,train,dataset\dataset\lungs\1146.png,dataset\dataset\masks\1146.png
1147,train,dataset\dataset\lungs\1147.png,dataset\dataset\masks\1147.png
1148,train,dataset\dataset\lungs\1148.png,dataset\dataset\masks\1148.png
1149,train,dataset\dataset\lungs\1149.png,dataset\dataset\masks\1149.png
1150,train,dataset\dataset\lungs\1150.png,dataset\dataset\masks\1150.png
1151,train,dataset\dataset\lungs\1151.png,dataset\dataset\masks\1151.png
1152,train,dataset\dataset\lungs\1152.png,dataset\dataset\masks\1152.png
1153,train,dataset\dataset\lungs\1153.png,dataset\dataset\masks\1153.png
1155,train,dataset\lungs\0059.png,dataset\masks\0059.png
1156,train,dataset\dataset\lungs\1156.png,dataset\dataset\masks\1156.png
1157,train,dataset\dataset\lungs\1157.png,dataset\dataset\masks\1157.png
1158,train,dataset\dataset\lungs\1158.png,dataset\dataset\masks\1158.png
1159,train,dataset\dataset\lungs\1159.png,dataset\dataset\masks\1159.png
1160,train,dataset\dataset\lungs\1160.png,dataset\dataset\masks\1160.png
1161,train,dataset\dataset\lungs\1161.png,dataset\dataset\masks\1161.png
1162,train,dataset\dataset\lungs\1162.png,dataset\dataset\masks\1162.png
1163,train,dataset\dataset\lungs\1163.png,dataset\dataset\masks\1163.png
1164,train,dataset\dataset\lungs\1164.png,dataset\dataset\masks\1164.png
1166,train,dataset\lungs\0534.png,dataset\masks\0534.png
1167,train,dataset\dataset\lungs\1167.png,dataset\dataset\masks\1167.png
1168,train,dataset\dataset\lungs\1168.png,dataset\dataset\masks\1168.png
1169,train,dataset\dataset\lungs\1169.png,dataset\dataset\masks\1169.png
1170,train,dataset\dataset\lungs\1170.png,dataset\dataset\masks\1170.png
1171,train,dataset\dataset\lungs\1171.png,dataset\dataset\masks\1171.png
1172,train,dataset\dataset\lungs\1172.png,dataset\dataset\masks\1172.png
1173,train,dataset\dataset\lungs\1173.png,dataset\dataset\masks\1173.png
1174,train,dataset\dataset\lungs\1174.png,dataset\dataset\masks\1174.png
1175,train,dataset\dataset\lungs\1175.png,dataset\dataset\masks\1175.png
1177,train,dataset\lungs\0690.png,dataset\masks\0690.png
1178,train,dataset\dataset\lungs\1178.png,dataset\dataset\masks\1178.png
1179,train,dataset\dataset\lungs\1179.png,dataset\dataset\masks\1179.png
1180,train,dataset\dataset\lungs\1180.png,dataset\dataset\masks\1180.png
1181,train,dataset\dataset\lungs\1181.png,dataset\dataset\masks\1181.png
1182,train,dataset\dataset\lungs\1182.png,dataset\dataset\masks\1182.png
1183,train,dataset\dataset\lungs\1183.png,dataset\dataset\masks\1183.png
1184,train,dataset\dataset\lungs\1184.png,dataset\dataset\masks\1184.png
1185,train,dataset\dataset\lungs\1185.png,dataset\dataset\masks\1185.png
1186,train,dataset\dataset\lungs\1186.png,dataset\dataset\masks\1186.png
1188,train,dataset\lungs\0702.png,dataset\masks\0702.png
1189,train,dataset\dataset\lungs\1189.png,dataset\dataset\masks\1189.png
1190,train,dataset\dataset\lungs\1190.png,dataset\dataset\masks\1190.png
1191,train,dataset\dataset\lungs\1191.png,dataset\dataset\masks\1191.png
1192,train,dataset\dataset\lungs\1192.png,dataset\dataset\masks\1192.png
1193,train,dataset\dataset\lungs\1193.png,dataset\dataset\masks\1193.png
1194,train,dataset\dataset\lungs\1194.png,dataset\dataset\masks\1194.png
1195,train,dataset\dataset\lungs\1195.png,dataset\dataset\masks\1195.png
1196,train,dataset\dataset\lungs\1196.png,dataset\dataset\masks\1196.png
1197,train,dataset\dataset\lungs\1197.png,dataset\dataset\masks\1197.png
1199,train,dataset\lungs\0463.png,dataset\masks\0463.png
1200,train,dataset\dataset\lungs\1200.png,dataset\dataset\masks\1200.png
1201,train,dataset\dataset\lungs\1201.png,dataset\dataset\masks\1201.png
1202,train,dataset\dataset\lungs\1202.png,dataset\dataset\masks\1202.png
1203,train,dataset\dataset\lungs\1203.png,dataset\dataset\masks\1203.png
1204,train,dataset\dataset\lungs\1204.png,dataset\dataset\masks\1204.png
1205,train,dataset\dataset\lungs\1205.png,dataset\dataset\masks\1205.png
1206,train,dataset\dataset\lungs\1206.png,dataset\dataset\masks\1206.png
1207,train,dataset\dataset\lungs\1207.png,dataset\dataset\masks\1207.png
1208,train,dataset\dataset\lungs\1208.png,dataset\dataset\masks\1208.png
1210,train,dataset\lungs\0232.png,dataset\masks\0232.png
1211,train,dataset\dataset\lungs\1211.png,dataset\dataset\masks\1211.png
1212,train,dataset\dataset\lungs\1212.png,dataset\dataset\masks\1212.png
1213,train,dataset\dataset\lungs\1213.png,dataset\dataset\masks\1213.png
1214,train,dataset\dataset\lungs\1214.png,dataset\dataset\masks\1214.png
1215,train,dataset\dataset\lungs\1215.png,dataset\dataset\masks\1215.png
1216,train,dataset\dataset\lungs\1216.png,dataset\dataset\masks\1216.png
1217,train,dataset\dataset\lungs\1217.png,dataset\dataset\masks\1217.png
1218,train,dataset\dataset\lungs\1218.png,dataset\dataset\masks\1218.png
1219,train,dataset\dataset\lungs\1219.png,dataset\dataset\masks\1219.png
1221,train,dataset\lungs\0030.png,dataset\masks\0030.png
1222,train,dataset\dataset\lungs\1222.png,dataset\dataset\masks\1222.png
1223,train,dataset\dataset\lungs\1223.png,dataset\dataset\masks\1223.png
1224,train,dataset\dataset\lungs\1224.png,dataset\dataset\masks\1224.png
1225,train,dataset\dataset\lungs\1225.png,dataset\dataset\masks\1225.png
1226,train,dataset\dataset\lungs\1226.png,dataset\dataset\masks\1226.png
1227,train,dataset\dataset\lungs\1227.png,dataset\dataset\masks\1227.png
1228,train,dataset\dataset\lungs\1228.png,dataset\dataset\masks\1228.png
1229,train,dataset\dataset\lungs\1229.png,dataset\dataset\masks\1229.png
1230,train,dataset\dataset\lungs\1230.png,dataset\dataset\masks\1230.png
1232,train,dataset\lungs\0304.png,dataset\masks\0304.png
1233,train,dataset\dataset\lungs\1233.png,dataset\dataset\masks\1233.png
1234,train,dataset\dataset\lungs\1234.png,dataset\dataset\masks\1234.png
1235,train,dataset\dataset\lungs\1235.png,dataset\dataset\masks\1235.png
1236,train,dataset\dataset\lungs\1236.png,dataset\dataset\masks\1236.png
1237,train,dataset\dataset\lungs\1237.png,dataset\dataset\masks\1237.png
1238,train,dataset\dataset\lungs\1238.png,dataset\dataset\masks\1238.png
1239,train,dataset\dataset\lungs\1239.png,dataset\dataset\masks\1239.png
1240,train,dataset\dataset\lungs\1240.png,dataset\dataset\masks\1240.png
1241,train,dataset\dataset\lungs\1241.png,dataset\dataset\masks\1241.png
1243,train,dataset\lungs\0061.png,dataset\masks\0061.png
1244,train,dataset\dataset\lungs\1244.png,dataset\dataset\masks\1244.png
1245,train,dataset\dataset\lungs\1245.png,dataset\dataset\masks\1245.png
1246,train,dataset\dataset\lungs\1246.png,dataset\dataset\masks\1246.png
1247,train,dataset\dataset\lungs\1247.png,dataset\dataset\masks\1247.png
1248,train,dataset\dataset\lungs\1248.png,dataset\dataset\masks\1248.png
1249,train,dataset\dataset\lungs\1249.png,dataset\dataset\masks\1249.png
1250,train,dataset\dataset\lungs\1250.png,dataset\dataset\masks\1250.png
1251,train,dataset\dataset\lungs\1251.png,dataset\dataset\masks\1251.png
1252,train,dataset\dataset\lungs\1252.png,dataset\dataset\masks\1252.png
1254,train,dataset\lungs\0663.png,dataset\masks\0663.png
1255,train,dataset\dataset\lungs\1255.png,dataset\dataset\masks\1255.png
1256,train,dataset\dataset\lungs\1256.png,dataset\dataset\masks\1256.png
1257,train,dataset\dataset\lungs\1257.png,dataset\dataset\masks\1257.png
1258,train,dataset\dataset\lungs\1258.png,dataset\dataset\masks\1258.png
1259,train,dataset\dataset\lungs\1259.png,dataset\dataset\masks\1259.png
1260,train,dataset\dataset\lungs\1260.png,dataset\dataset\masks\1260.png
1261,train,dataset\dataset\lungs\1261.png,dataset\dataset\masks\1261.png
1262,train,dataset\dataset\lungs\1262.png,dataset\dataset\masks\1262.png
1263,train,dataset\dataset\lungs\1263.png,dataset\dataset\masks\1263.png
1265,train,dataset\lungs\0319.png,dataset\masks\0319.png
1266,train,dataset\dataset\lungs\1266.png,dataset\dataset\masks\1266.png
1267,train,dataset\dataset\lungs\1267.png,dataset\dataset\masks\1267.png
1268,train,dataset\dataset\lungs\1268.png,dataset\dataset\masks\1268.png
1269,train,dataset\dataset\lungs\1269.png,dataset\dataset\masks\1269.png
1270,train,dataset\dataset\lungs\1270.png,dataset\dataset\masks\1270.png
1271,train,dataset\dataset\lungs\1271.png,dataset\dataset\masks\1271.png
1272,train,dataset\dataset\lungs\1272.png,dataset\dataset\masks\1272.png
1273,train,dataset\dataset\lungs\1273.png,dataset\dataset\masks\1273.png
1274,train,dataset\dataset\lungs\1274.png,dataset\dataset\masks\1274.png
1276,train,dataset\lungs\0263.png,dataset\masks\0263.png
1277,train,dataset\dataset\lungs\1277.png,dataset\dataset\masks\1277.png
1278,train,dataset\dataset\lungs\1278.png,dataset\dataset\masks\1278.png
1279,train,dataset\dataset\lungs\1279.png,dataset\dataset\masks\1279.png
1280,train,dataset\dataset\lungs\1280.png,dataset\dataset\masks\1280.png
1281,train,dataset\dataset\lungs\1281.png,dataset\dataset\masks\1281.png
1282,train,dataset\dataset\lungs\1282.png,dataset\dataset\masks\1282.png
1283,train,dataset\dataset\lungs\1283.png,dataset\dataset\masks\1283.png
1284,train,dataset\dataset\lungs\1284.png,dataset\dataset\masks\1284.png
1285,train,dataset\dataset\lungs\1285.png,dataset\dataset\masks\1285.png
1287,train,dataset\lungs\0173.png,dataset\masks\0173.png
1288,train,dataset\dataset\lungs\1288.png,dataset\dataset\masks\1288.png
1289,train,dataset\dataset\lungs\1289.png,dataset\dataset\masks\1289.png
1290,train,dataset\dataset\lungs\1290.png,dataset\dataset\masks\1290.png
1291,train,dataset\dataset\lungs\1291.png,dataset\dataset\masks\1291.png
1292,train,dataset\dataset\lungs\1292.png,dataset\dataset\masks\1292.png
1293,train,dataset\dataset\lungs\1293.png,dataset\dataset\masks\1293.png
1294,train,dataset\dataset\lungs\1294.png,dataset\dataset\masks\1294.png
1295,train,dataset\dataset\lungs\1295.png,dataset\dataset\masks\1295.png
1296,train,dataset\dataset\lungs\1296.png,dataset\dataset\masks\1296.png
1298,train,dataset\lungs\0102.png,dataset\masks\0102.png
1299,train,dataset\dataset\lungs\1299.png,dataset\dataset\masks\1299.png
1300,train,dataset\dataset\lungs\1300.png,dataset\dataset\masks\1300.png
1301,train,dataset\dataset\lungs\1301.png,dataset\dataset\masks\1301.png
1302,train,dataset\dataset\lungs\1302.png,dataset\dataset\masks\1302.png
1303,train,dataset\dataset\lungs\1303.png,dataset\dataset\masks\1303.png
1304,train,dataset\dataset\lungs\1304.png,dataset\dataset\masks\1304.png
1305,train,dataset\dataset\lungs\1305.png,dataset\dataset\masks\1305.png
1306,train,dataset\dataset\lungs\1306.png,dataset\dataset\masks\1306.png
1307,train,dataset\dataset\lungs\1307.png,dataset\dataset\masks\1307.png
1309,train,dataset\lungs\0261.png,dataset\masks\0261.png
1310,train,dataset\dataset\lungs\1310.png,dataset\dataset\masks\1310.png
1311,train,dataset\dataset\lungs\1311.png,dataset\dataset\masks\1311.png
1312,train,dataset\dataset\lungs\1312.png,dataset\dataset\masks\1312.png
1313,train,dataset\dataset\lungs\1313.png,dataset\dataset\masks\1313.png
1314,train,dataset\dataset\lungs\1314.png,dataset\dataset\masks\1314.png
1315,train,dataset\dataset\lungs\1315.png,dataset\dataset\masks\1315.png
1316,train,dataset\dataset\lungs\1316.png,dataset\dataset\masks\1316.png
1317,train,dataset\dataset\lungs\1317.png,dataset\dataset\masks\1317.png
1318,train,dataset\dataset\lungs\1318.png,dataset\dataset\masks\1318.png
1320,train,dataset\lungs\0479.png,dataset\masks\0479.png
1321,train,dataset\dataset\lungs\1321.png,dataset\dataset\masks\1321.png
1322,train,dataset\dataset\lungs\1322.png,dataset\dataset\masks\1322.png
1323,train,dataset\dataset\lungs\1323.png,dataset\dataset\masks\1323.png
1324,train,dataset\dataset\lungs\1324.png,dataset\dataset\masks\1324.png
1325,train,dataset\dataset\lungs\1325.png,dataset\dataset\masks\1325.png
1326,train,dataset\dataset\lungs\1326.png,dataset\dataset\masks\1326.png
1327,train,dataset\dataset\lungs\1327.png,dataset\dataset\masks\1327.png
1328,train,dataset\dataset\lungs\1328.png,dataset\dataset\masks\1328.png
1329,train,dataset\dataset\lungs\1329.png,dataset\dataset\masks\1329.png
1331,train,dataset\lungs\0307.png,dataset\masks\0307.png
1332,train,dataset\dataset\lungs\1332.png,dataset\dataset\masks\1332.png
1333,train,dataset\dataset\lungs\1333.png,dataset\dataset\masks\1333.png
1334,train,dataset\dataset\lungs\1334.png,dataset\dataset\masks\1334.png
1335,train,dataset\dataset\lungs\1335.png,dataset\dataset\masks\1335.png
1336,train,dataset\dataset\lungs\1336.png,dataset\dataset\masks\1336.png
1337,train,dataset\dataset\lungs\1337.png,dataset\dataset\masks\1337.png
1338,train,dataset\dataset\lungs\1338.png,dataset\dataset\masks\1338.png
1339,train,dataset\dataset\lungs\1339.png,dataset\dataset\masks\1339.png
1340,train,dataset\dataset\lungs\1340.png,dataset\dataset\masks\1340.png
1342,train,dataset\lungs\0008.png,dataset\masks\0008.png
1343,train,dataset\dataset\lungs\1343.png,dataset\dataset\masks\1343.png
1344,train,dataset\dataset\lungs\1344.png,dataset\dataset\masks\1344.png
1345,train,dataset\dataset\lungs\1345.png,dataset\dataset\masks\1345.png
1346,train,dataset\dataset\lungs\1346.png,dataset\dataset\masks\1346.png
1347,train,dataset\dataset\lungs\1347.png,dataset\dataset\masks\1347.png
1348,train,dataset\dataset\lungs\1348.png,dataset\dataset\masks\1348.png
1349,train,dataset\dataset\lungs\1349.png,dataset\dataset\masks\1349.png
1350,train,dataset\dataset\lungs\1350.png,dataset\dataset\masks\1350.png
1351,train,dataset\dataset\lungs\1351.png,dataset\dataset\masks\1351.png
1353,train,dataset\lungs\0216.png,dataset\masks\0216.png
1354,train,dataset\dataset\lungs\1354.png,dataset\dataset\masks\1354.png
1355,train,dataset\dataset\lungs\1355.png,dataset\dataset\masks\1355.png
1356,train,dataset\dataset\lungs\1356.png,dataset\dataset\masks\1356.png
1357,train,dataset\dataset\lungs\1357.png,dataset\dataset\masks\1357.png
1358,train,dataset\dataset\lungs\1358.png,dataset\dataset\masks\1358.png
1359,train,dataset\dataset\lungs\1359.png,dataset\dataset\masks\1359.png
1360,train,dataset\dataset\lungs\1360.png,dataset\dataset\masks\1360.png
1361,train,dataset\dataset\lungs\1361.png,dataset\dataset\masks\1361.png
1362,train,dataset\dataset\lungs\1362.png,dataset\dataset\masks\1362.png
1364,train,dataset\lungs\0546.png,dataset\masks\0546.png
1365,train,dataset\dataset\lungs\1365.png,dataset\dataset\masks\1365.png
1366,train,dataset\dataset\lungs\1366.png,dataset\dataset\masks\1366.png
1367,train,dataset\dataset\lungs\1367.png,dataset\dataset\masks\1367.png
1368,train,dataset\dataset\lungs\1368.png,dataset\dataset\masks\1368.png
1369,train,dataset\dataset\lungs\1369.png,dataset\dataset\masks\1369.png
1370,train,dataset\dataset\lungs\1370.png,dataset\dataset\masks\1370.png
1371,train,dataset\dataset\lungs\1371.png,dataset\dataset\masks\1371.png
1372,train,dataset\dataset\lungs\1372.png,dataset\dataset\masks\1372.png
1373,train,dataset\dataset\lungs\1373.png,dataset\dataset\masks\1373.png
1375,train,dataset\lungs\0345.png,dataset\masks\0345.png
1376,train,dataset\dataset\lungs\1376.png,dataset\dataset\masks\1376.png
1377,train,dataset\dataset\lungs\1377.png,dataset\dataset\masks\1377.png
1378,train,dataset\dataset\lungs\1378.png,dataset\dataset\masks\1378.png
1379,train,dataset\dataset\lungs\1379.png,dataset\dataset\masks\1379.png
1380,train,dataset\dataset\lungs\1380.png,dataset\dataset\masks\1380.png
1381,train,dataset\dataset\lungs\1381.png,dataset\dataset\masks\1381.png
1382,train,dataset\dataset\lungs\1382.png,dataset\dataset\masks\1382.png
1383,train,dataset\dataset\lungs\1383.png,dataset\dataset\masks\1383.png
1384,train,dataset\dataset\lungs\1384.png,dataset\dataset\masks\1384.png
1386,train,dataset\lungs\0275.png,dataset\masks\0275.png
1387,train,dataset\dataset\lungs\1387.png,dataset\dataset\masks\1387.png
1388,train,dataset\dataset\lungs\1388.png,dataset\dataset\masks\1388.png
1389,train,dataset\dataset\lungs\1389.png,dataset\dataset\masks\1389.png
1390,train,dataset\dataset\lungs\1390.png,dataset\dataset\masks\1390.png
1391,train,dataset\dataset\lungs\1391.png,dataset\dataset\masks\1391.png
1392,train,dataset\dataset\lungs\1392.png,dataset\dataset\masks\1392.png
1393,train,dataset\dataset\lungs\1393.png,dataset\dataset\masks\1393.png
1394,train,dataset\dataset\lungs\1394.png,dataset\dataset\masks\1394.png
1395,train,dataset\dataset\lungs\1395.png,dataset\dataset\masks\1395.png
1397,train,dataset\lungs\0292.png,dataset\masks\0292.png
1398,train,dataset\dataset\lungs\1398.png,dataset\dataset\masks\1398.png
1399,train,dataset\dataset\lungs\1399.png,dataset\dataset\masks\1399.png
1400,train,dataset\dataset\lungs\1400.png,dataset\dataset\masks\1400.png
1401,train,dataset\dataset\lungs\1401.png,dataset\dataset\masks\1401.png
1402,train,dataset\dataset\lungs\1402.png,dataset\dataset\masks\1402.png
1403,train,dataset\dataset\lungs\1403.png,dataset\dataset\masks\1403.png
1404,train,dataset\dataset\lungs\1404.png,dataset\dataset\masks\1404.png
1405,train,dataset\dataset\lungs\1405.png,dataset\dataset\masks\1405.png
1406,train,dataset\dataset\lungs\1406.png,dataset\dataset\masks\1406.png
1408,train,dataset\lungs\0067.png,dataset\masks\0067.png
1409,train,dataset\dataset\lungs\1409.png,dataset\dataset\masks\1409.png
1410,train,dataset\dataset\lungs\1410.png,dataset\dataset\masks\1410.png
1411,train,dataset\dataset\lungs\1411.png,dataset\dataset\masks\1411.png
1412,train,dataset\dataset\lungs\1412.png,dataset\dataset\masks\1412.png
1413,train,dataset\dataset\lungs\1413.png,dataset\dataset\masks\1413.png
1414,train,dataset\dataset\lungs\1414.png,dataset\dataset\masks\1414.png
1415,train,dataset\dataset\lungs\1415.png,dataset\dataset\masks\1415.png
1416,train,dataset\dataset\lungs\1416.png,dataset\dataset\masks\1416.png
1417,train,dataset\dataset\lungs\1417.png,dataset\dataset\masks\1417.png
1419,train,dataset\lungs\0156.png,dataset\masks\0156.png
1420,train,dataset\dataset\lungs\1420.png,dataset\dataset\masks\1420.png
1421,train,dataset\dataset\lungs\1421.png,dataset\dataset\masks\1421.png
1422,train,dataset\dataset\lungs\1422.png,dataset\dataset\masks\1422.png
1423,train,dataset\dataset\lungs\1423.png,dataset\dataset\masks\1423.png
1424,train,dataset\dataset\lungs\1424.png,dataset\dataset\masks\1424.png
1425,train,dataset\dataset\lungs\1425.png,dataset\dataset\masks\1425.png
1426,train,dataset\dataset\lungs\1426.png,dataset\dataset\masks\1426.png
1427,train,dataset\dataset\lungs\1427.png,dataset\dataset\masks\1427.png
1428,train,dataset\dataset\lungs\1428.png,dataset\dataset\masks\1428.png
1430,train,dataset\lungs\0231.png,dataset\masks\0231.png
1431,train,dataset\dataset\lungs\1431.png,dataset\dataset\masks\1431.png
1432,train,dataset\dataset\lungs\1432.png,dataset\dataset\masks\1432.png
1433,train,dataset\dataset\lungs\1433.png,dataset\dataset\masks\1433.png
1434,train,dataset\dataset\lungs\1434.png,dataset\dataset\masks\1434.png
1435,train,dataset\dataset\lungs\1435.png,dataset\dataset\masks\1435.png
1436,train,dataset\dataset\lungs\1436.png,dataset\dataset\masks\1436.png
1437,train,dataset\dataset\lungs\1437.png,dataset\dataset\masks\1437.png
1438,train,dataset\dataset\lungs\1438.png,dataset\dataset\masks\1438.png
1439,train,dataset\dataset\lungs\1439.png,dataset\dataset\masks\1439.png
1441,train,dataset\lungs\0039.png,dataset\masks\0039.png
1442,train,dataset\dataset\lungs\1442.png,dataset\dataset\masks\1442.png
1443,train,dataset\dataset\lungs\1443.png,dataset\dataset\masks\1443.png
1444,train,dataset\dataset\lungs\1444.png,dataset\dataset\masks\1444.png
1445,train,dataset\dataset\lungs\1445.png,dataset\dataset\masks\1445.png
1446,train,dataset\dataset\lungs\1446.png,dataset\dataset\masks\1446.png
1447,train,dataset\dataset\lungs\1447.png,dataset\dataset\masks\1447.png
1448,train,dataset\dataset\lungs\1448.png,dataset\dataset\masks\1448.png
1449,train,dataset\dataset\lungs\1449.png,dataset\dataset\masks\1449.png
1450,train,dataset\dataset\lungs\1450.png,dataset\dataset\masks\1450.png
1452,train,dataset\lungs\0639.png,dataset\masks\0639.png
1453,train,dataset\dataset\lungs\1453.png,dataset\dataset\masks\1453.png
1454,train,dataset\dataset\lungs\1454.png,dataset\dataset\masks\1454.png
1455,train,dataset\dataset\lungs\1455.png,dataset\dataset\masks\1455.png
1456,train,dataset\dataset\lungs\1456.png,dataset\dataset\masks\1456.png
1457,train,dataset\dataset\lungs\1457.png,dataset\dataset\masks\1457.png
1458,train,dataset\dataset\lungs\1458.png,dataset\dataset\masks\1458.png
1459,train,dataset\dataset\lungs\1459.png,dataset\dataset\masks\1459.png
1460,train,dataset\dataset\lungs\1460.png,dataset\dataset\masks\1460.png
1461,train,dataset\dataset\lungs\1461.png,dataset\dataset\masks\1461.png
1463,train,dataset\lungs\0637.png,dataset\masks\0637.png
1464,train,dataset\dataset\lungs\1464.png,dataset\dataset\masks\1464.png
1465,train,dataset\dataset\lungs\1465.png,dataset\dataset\masks\1465.png
1466,train,dataset\dataset\lungs\1466.png,dataset\dataset\masks\1466.png
1467,train,dataset\dataset\lungs\1467.png,dataset\dataset\masks\1467.png
1468,train,dataset\dataset\lungs\1468.png,dataset\dataset\masks\1468.png
1469,train,dataset\dataset\lungs\1469.png,dataset\dataset\masks\1469.png
1470,train,dataset\dataset\lungs\1470.png,dataset\dataset\masks\1470.png
1471,train,dataset\dataset\lungs\1471.png,dataset\dataset\masks\1471.png
1472,train,dataset\dataset\lungs\1472.png,dataset\dataset\masks\1472.png
1474,train,dataset\lungs\0035.png,dataset\masks\0035.png
1475,train,dataset\dataset\lungs\1475.png,dataset\dataset\masks\1475.png
1476,train,dataset\dataset\lungs\1476.png,dataset\dataset\masks\1476.png
1477,train,dataset\dataset\lungs\1477.png,dataset\dataset\masks\1477.png
1478,train,dataset\dataset\lungs\1478.png,dataset\dataset\masks\1478.png
1479,train,dataset\dataset\lungs\1479.png,dataset\dataset\masks\1479.png
1480,train,dataset\dataset\lungs\1480.png,dataset\dataset\masks\1480.png
1481,train,dataset\dataset\lungs\1481.png,dataset\dataset\masks\1481.png
1482,train,dataset\dataset\lungs\1482.png,dataset\dataset\masks\1482.png
1483,train,dataset\dataset\lungs\1483.png,dataset\dataset\masks\1483.png
1485,train,dataset\lungs\0086.png,dataset\masks\0086.png
1486,train,dataset\dataset\lungs\1486.png,dataset\dataset\masks\1486.png
1487,train,dataset\dataset\lungs\1487.png,dataset\dataset\masks\1487.png
1488,train,dataset\dataset\lungs\1488.png,dataset\dataset\masks\1488.png
1489,train,dataset\dataset\lungs\1489.png,dataset\dataset\masks\1489.png
1490,train,dataset\dataset\lungs\1490.png,dataset\dataset\masks\1490.png
1491,train,dataset\dataset\lungs\1491.png,dataset\dataset\masks\1491.png
1492,train,dataset\dataset\lungs\1492.png,dataset\dataset\masks\1492.png
1493,train,dataset\dataset\lungs\1493.png,dataset\dataset\masks\1493.png
1494,train,dataset\dataset\lungs\1494.png,dataset\dataset\masks\1494.png
1496,train,dataset\lungs\0656.png,dataset\masks\0656.png
1497,train,dataset\dataset\lungs\1497.png,dataset\dataset\masks\1497.png
1498,train,dataset\dataset\lungs\1498.png,dataset\dataset\masks\1498.png
1499,train,dataset\dataset\lungs\1499.png,dataset\dataset\masks\1499.png
1500,train,dataset\dataset\lungs\1500.png,dataset\dataset\masks\1500.png
1501,train,dataset\dataset\lungs\1501.png,dataset\dataset\masks\1501.png
1502,train,dataset\dataset\lungs\1502.png,dataset\dataset\masks\1502.png
1503,train,dataset\dataset\lungs\1503.png,dataset\dataset\masks\1503.png
1504,train,dataset\dataset\lungs\1504.png,dataset\dataset\masks\1504.png
1505,train,dataset\dataset\lungs\1505.png,dataset\dataset\masks\1505.png
1507,train,dataset\lungs\0248.png,dataset\masks\0248.png
1508,train,dataset\dataset\lungs\1508.png,dataset\dataset\masks\1508.png
1509,train,dataset\dataset\lungs\1509.png,dataset\dataset\masks\1509.png
1510,train,dataset\dataset\lungs\1510.png,dataset\dataset\masks\1510.png
1511,train,dataset\dataset\lungs\1511.png,dataset\dataset\masks\1511.png
1512,train,dataset\dataset\lungs\1512.png,dataset\dataset\masks\1512.png
1513,train,dataset\dataset\lungs\1513.png,dataset\dataset\masks\1513.png
1514,train,dataset\dataset\lungs\1514.png,dataset\dataset\masks\1514.png
1515,train,dataset\dataset\lungs\1515.png,dataset\dataset\masks\1515.png
1516,train,dataset\dataset\lungs\1516.png,dataset\dataset\masks\1516.png
1518,train,dataset\lungs\0693.png,dataset\masks\0693.png
1519,train,dataset\dataset\lungs\1519.png,dataset\dataset\masks\1519.png
1520,train,dataset\dataset\lungs\1520.png,dataset\dataset\masks\1520.png
1521,train,dataset\dataset\lungs\1521.png,dataset\dataset\masks\1521.png
1522,train,dataset\dataset\lungs\1522.png,dataset\dataset\masks\1522.png
1523,train,dataset\dataset\lungs\1523.png,dataset\dataset\masks\1523.png
1524,train,dataset\dataset\lungs\1524.png,dataset\dataset\masks\1524.png
1525,train,dataset\dataset\lungs\1525.png,dataset\dataset\masks\1525.png
1526,train,dataset\dataset\lungs\1526.png,dataset\dataset\masks\1526.png
1527,train,dataset\dataset\lungs\1527.png,dataset\dataset\masks\1527.png
1529,train,dataset\lungs\0213.png,dataset\masks\0213.png
1530,train,dataset\dataset\lungs\1530.png,dataset\dataset\masks\1530.png
1531,train,dataset\dataset\lungs\1531.png,dataset\dataset\masks\1531.png
1532,train,dataset\dataset\lungs\1532.png,dataset\dataset\masks\1532.png
1533,train,dataset\dataset\lungs\1533.png,dataset\dataset\masks\1533.png
